time,volume,high,low,open,close
2016-08-17 21:00:00+00:00,46317.0,100.511,99.647,100.258,99.882
2016-08-18 21:00:00+00:00,30965.0,100.462,99.876,99.896,100.220
2016-08-21 21:00:00+00:00,32920.0,100.934,100.214,100.782,100.324
2016-08-22 21:00:00+00:00,26069.0,100.393,99.942,100.315,100.243
2016-08-23 21:00:00+00:00,22340.0,100.610,100.096,100.250,100.450
2016-08-24 21:00:00+00:00,17224.0,100.620,100.306,100.443,100.532
2016-08-25 21:00:00+00:00,41923.0,101.948,100.064,100.545,101.826
2016-08-28 21:00:00+00:00,26518.0,102.394,101.838,102.080,101.919
2016-08-29 21:00:00+00:00,27823.0,103.138,101.754,101.926,102.965
2016-08-30 21:00:00+00:00,27340.0,103.532,102.859,102.980,103.422
2016-08-31 21:00:00+00:00,30765.0,103.998,103.063,103.442,103.231
2016-09-01 21:00:00+00:00,47690.0,104.322,102.804,103.246,103.942
2016-09-04 21:00:00+00:00,29887.0,104.138,103.148,104.101,103.435
2016-09-05 21:00:00+00:00,37742.0,103.807,101.930,103.416,102.020
2016-09-06 21:00:00+00:00,37576.0,102.134,101.198,102.048,101.742
2016-09-07 21:00:00+00:00,35239.0,102.601,101.415,101.734,102.486
2016-09-08 21:00:00+00:00,40184.0,103.060,101.966,102.430,102.695
2016-09-11 21:00:00+00:00,42616.0,102.670,101.561,102.576,101.842
2016-09-12 21:00:00+00:00,41674.0,102.748,101.420,101.858,102.553
2016-09-13 21:00:00+00:00,40877.0,103.358,102.250,102.587,102.428
2016-09-14 21:00:00+00:00,40499.0,102.760,101.936,102.416,102.088
2016-09-15 21:00:00+00:00,35283.0,102.464,101.740,102.057,102.258
2016-09-18 21:00:00+00:00,23550.0,102.420,101.582,102.150,101.920
2016-09-19 21:00:00+00:00,25787.0,102.063,101.536,101.908,101.716
2016-09-20 21:00:00+00:00,111800.0,102.786,100.303,101.694,100.325
2016-09-21 21:00:00+00:00,32119.0,100.931,100.097,100.335,100.764
2016-09-22 21:00:00+00:00,30331.0,101.250,100.678,100.750,101.000
2016-09-25 21:00:00+00:00,26596.0,101.091,100.248,101.027,100.336
2016-09-26 21:00:00+00:00,37036.0,100.986,100.085,100.314,100.430
2016-09-27 21:00:00+00:00,27030.0,100.819,100.260,100.416,100.690
2016-09-28 21:00:00+00:00,38869.0,101.842,100.654,100.676,101.041
2016-09-29 21:00:00+00:00,38858.0,101.784,100.749,101.022,101.353
2016-10-02 21:00:00+00:00,24947.0,101.682,101.188,101.233,101.650
2016-10-03 21:00:00+00:00,35560.0,102.968,101.574,101.639,102.904
2016-10-04 21:00:00+00:00,28762.0,103.670,102.670,102.883,103.496
2016-10-05 21:00:00+00:00,24704.0,104.164,103.349,103.529,103.955
2016-10-06 21:00:00+00:00,53519.0,104.032,102.860,103.984,102.908
2016-10-09 21:00:00+00:00,21792.0,103.790,102.810,103.298,103.613
2016-10-10 21:00:00+00:00,31361.0,104.074,103.174,103.643,103.512
2016-10-11 21:00:00+00:00,32219.0,104.482,103.282,103.496,104.206
2016-10-12 21:00:00+00:00,41093.0,104.634,103.336,104.262,103.697
2016-10-13 21:00:00+00:00,37413.0,104.478,103.611,103.696,104.166
2016-10-16 21:00:00+00:00,27988.0,104.378,103.788,104.359,103.884
2016-10-17 21:00:00+00:00,22578.0,104.202,103.682,103.898,103.862
2016-10-18 21:00:00+00:00,22237.0,103.950,103.166,103.849,103.448
2016-10-19 21:00:00+00:00,25845.0,104.106,103.344,103.458,103.954
2016-10-20 21:00:00+00:00,22180.0,104.205,103.523,103.946,103.832
2016-10-23 21:00:00+00:00,19171.0,104.322,103.722,103.838,104.182
2016-10-24 21:00:00+00:00,24583.0,104.874,104.114,104.146,104.224
2016-10-25 21:00:00+00:00,25842.0,104.620,104.023,104.232,104.478
2016-10-26 21:00:00+00:00,26286.0,105.350,104.296,104.460,105.284
2016-10-27 21:00:00+00:00,39408.0,105.534,104.460,105.276,104.724
2016-10-30 21:00:00+00:00,28165.0,105.231,104.420,104.435,104.824
2016-10-31 21:00:00+00:00,39368.0,105.117,103.799,104.835,104.152
2016-11-01 21:00:00+00:00,49741.0,104.166,103.020,104.140,103.306
2016-11-02 21:00:00+00:00,43429.0,103.443,102.547,103.307,102.978
2016-11-03 21:00:00+00:00,38552.0,103.354,102.834,102.999,103.126
2016-11-06 22:00:00+00:00,39150.0,104.630,103.779,104.101,104.476
2016-11-07 22:00:00+00:00,31252.0,105.194,104.297,104.462,105.176
2016-11-08 22:00:00+00:00,291027.0,105.890,101.193,105.178,105.658
2016-11-09 22:00:00+00:00,98205.0,106.949,104.960,105.685,106.816
2016-11-10 22:00:00+00:00,71674.0,106.934,106.032,106.796,106.683
2016-11-13 22:00:00+00:00,76997.0,108.543,106.736,106.882,108.423
2016-11-14 22:00:00+00:00,64009.0,109.338,107.770,108.408,109.196
2016-11-15 22:00:00+00:00,55851.0,109.757,108.793,109.184,109.076
2016-11-16 22:00:00+00:00,68663.0,110.187,108.552,109.085,110.137
2016-11-17 22:00:00+00:00,71148.0,110.954,109.802,110.160,110.911
2016-11-20 22:00:00+00:00,79666.0,111.366,110.459,110.904,110.830
2016-11-21 22:00:00+00:00,71547.0,111.358,110.268,110.795,111.152
2016-11-22 22:00:00+00:00,55554.0,112.978,110.855,111.156,112.526
2016-11-23 22:00:00+00:00,52518.0,113.534,112.372,112.539,113.328
2016-11-24 22:00:00+00:00,80158.0,113.900,112.556,113.324,113.253
2016-11-27 22:00:00+00:00,79207.0,112.976,111.360,112.816,111.922
2016-11-28 22:00:00+00:00,64601.0,113.340,111.620,111.964,112.390
2016-11-29 22:00:00+00:00,82558.0,114.544,112.058,112.376,114.462
2016-11-30 22:00:00+00:00,79086.0,114.826,113.830,114.428,114.096
2016-12-01 22:00:00+00:00,63334.0,114.207,113.330,114.122,113.515
2016-12-04 22:00:00+00:00,83060.0,114.777,112.876,113.320,113.852
2016-12-05 22:00:00+00:00,40754.0,114.188,113.504,113.841,114.018
2016-12-06 22:00:00+00:00,36128.0,114.404,113.416,114.029,113.760
2016-12-07 22:00:00+00:00,68932.0,114.378,113.120,113.805,114.030
2016-12-08 22:00:00+00:00,47730.0,115.368,114.012,114.030,115.320
2016-12-11 22:00:00+00:00,54436.0,116.124,114.856,115.408,115.024
2016-12-12 22:00:00+00:00,48692.0,115.477,114.737,115.014,115.188
2016-12-13 22:00:00+00:00,71470.0,117.398,114.772,115.180,117.043
2016-12-14 22:00:00+00:00,94662.0,118.666,117.015,117.056,118.180
2016-12-15 22:00:00+00:00,63354.0,118.428,117.467,118.207,117.913
2016-12-18 22:00:00+00:00,60781.0,117.966,116.550,117.964,117.097
2016-12-19 22:00:00+00:00,51742.0,118.244,116.988,117.098,117.864
2016-12-20 22:00:00+00:00,39423.0,118.070,117.109,117.868,117.557
2016-12-21 22:00:00+00:00,31512.0,117.880,117.270,117.546,117.540
2016-12-22 22:00:00+00:00,20251.0,117.623,117.173,117.535,117.333
2016-12-26 22:00:00+00:00,23464.0,117.620,117.091,117.091,117.420
2016-12-27 22:00:00+00:00,25824.0,117.814,117.056,117.438,117.261
2016-12-28 22:00:00+00:00,44420.0,117.216,116.232,117.140,116.536
2016-12-29 22:00:00+00:00,68410.0,117.198,116.048,116.571,117.017
2017-01-02 22:00:00+00:00,55375.0,118.614,117.218,117.282,117.748
2017-01-03 22:00:00+00:00,59221.0,118.188,117.056,117.754,117.247
2017-01-04 22:00:00+00:00,101604.0,117.433,115.216,117.259,115.364
2017-01-05 22:00:00+00:00,76916.0,117.183,115.070,115.340,116.982
2017-01-08 22:00:00+00:00,59420.0,117.534,115.956,117.017,116.050
2017-01-09 22:00:00+00:00,75082.0,116.346,115.198,115.773,115.778
2017-01-10 22:00:00+00:00,116584.0,116.873,114.242,115.763,115.414
2017-01-11 22:00:00+00:00,102070.0,115.514,113.752,115.371,114.719
2017-01-12 22:00:00+00:00,78997.0,115.446,114.172,114.705,114.498
2017-01-15 22:00:00+00:00,62596.0,114.486,113.622,114.330,114.199
2017-01-16 22:00:00+00:00,96803.0,114.285,112.606,114.180,112.607
2017-01-17 22:00:00+00:00,69535.0,114.764,112.576,112.596,114.628
2017-01-18 22:00:00+00:00,84943.0,115.624,114.402,114.649,114.860
2017-01-19 22:00:00+00:00,95675.0,115.386,114.212,114.842,114.585
2017-01-22 22:00:00+00:00,87359.0,114.595,112.700,114.595,112.700
2017-01-23 22:00:00+00:00,65116.0,113.894,112.526,112.654,113.782
2017-01-24 22:00:00+00:00,62160.0,113.993,113.040,113.770,113.280
2017-01-25 22:00:00+00:00,64989.0,114.857,113.053,113.250,114.537
2017-01-26 22:00:00+00:00,58748.0,115.378,114.392,114.558,115.094
2017-01-29 22:00:00+00:00,60604.0,114.958,113.447,114.759,113.780
2017-01-30 22:00:00+00:00,89100.0,113.962,112.082,113.766,112.802
2017-01-31 22:00:00+00:00,74528.0,113.954,112.644,112.795,113.248
2017-02-01 22:00:00+00:00,68892.0,113.364,112.056,113.215,112.806
2017-02-02 22:00:00+00:00,74325.0,113.488,112.314,112.818,112.596
2017-02-05 22:00:00+00:00,56437.0,112.780,111.622,112.486,111.745
2017-02-06 22:00:00+00:00,47037.0,112.582,111.594,111.732,112.398
2017-02-07 22:00:00+00:00,51423.0,112.546,111.632,112.382,111.932
2017-02-08 22:00:00+00:00,50242.0,113.348,111.739,111.952,113.248
2017-02-09 22:00:00+00:00,54249.0,113.862,112.860,113.264,113.227
2017-02-12 22:00:00+00:00,40861.0,114.168,113.436,113.546,113.738
2017-02-13 22:00:00+00:00,50203.0,114.501,113.250,113.751,114.264
2017-02-14 22:00:00+00:00,47976.0,114.955,113.864,114.243,114.154
2017-02-15 22:00:00+00:00,48997.0,114.314,113.079,114.142,113.246
2017-02-16 22:00:00+00:00,42119.0,113.505,112.620,113.256,112.809
2017-02-19 22:00:00+00:00,24739.0,113.239,112.792,112.890,113.103
2017-02-20 22:00:00+00:00,31664.0,113.780,113.090,113.095,113.683
2017-02-21 22:00:00+00:00,44651.0,113.735,112.908,113.668,113.314
2017-02-22 22:00:00+00:00,38535.0,113.461,112.552,113.332,112.624
2017-02-23 22:00:00+00:00,35884.0,112.955,111.936,112.602,112.125
2017-02-26 22:00:00+00:00,43902.0,112.844,111.920,112.172,112.690
2017-02-27 22:00:00+00:00,95019.0,112.902,111.688,112.715,112.789
2017-02-28 22:00:00+00:00,134539.0,114.056,112.726,112.747,113.726
2017-03-01 22:00:00+00:00,84062.0,114.598,113.682,113.738,114.406
2017-03-02 22:00:00+00:00,99613.0,114.754,113.811,114.400,114.005
2017-03-05 22:00:00+00:00,62628.0,114.143,113.559,113.906,113.896
2017-03-06 22:00:00+00:00,52633.0,114.156,113.730,113.879,113.980
2017-03-07 22:00:00+00:00,73263.0,114.758,113.612,113.996,114.387
2017-03-08 22:00:00+00:00,84417.0,115.003,114.312,114.324,114.962
2017-03-09 22:00:00+00:00,101780.0,115.504,114.652,114.938,114.758
2017-03-12 21:00:00+00:00,64637.0,114.927,114.482,114.738,114.882
2017-03-13 21:00:00+00:00,64698.0,115.193,114.518,114.889,114.738
2017-03-14 21:00:00+00:00,96228.0,114.883,113.170,114.777,113.382
2017-03-15 21:00:00+00:00,91324.0,113.552,112.902,113.375,113.306
2017-03-16 21:00:00+00:00,61964.0,113.496,112.563,113.300,112.709
2017-03-19 21:00:00+00:00,50467.0,112.899,112.454,112.682,112.558
2017-03-20 21:00:00+00:00,91070.0,112.869,111.540,112.566,111.723
2017-03-21 21:00:00+00:00,111182.0,111.791,110.731,111.725,111.155
2017-03-22 21:00:00+00:00,114211.0,111.578,110.628,111.150,110.930
2017-03-23 21:00:00+00:00,96563.0,111.485,110.626,110.934,111.321
2017-03-26 21:00:00+00:00,88211.0,111.054,110.114,110.926,110.669
2017-03-27 21:00:00+00:00,70222.0,111.202,110.182,110.652,111.140
2017-03-28 21:00:00+00:00,70233.0,111.318,110.714,111.174,111.048
2017-03-29 21:00:00+00:00,75744.0,111.944,110.942,111.034,111.920
2017-03-30 21:00:00+00:00,83106.0,112.202,111.244,111.900,111.388
2017-04-02 21:00:00+00:00,71453.0,111.592,110.854,111.444,110.902
2017-04-03 21:00:00+00:00,77717.0,110.945,110.272,110.934,110.740
2017-04-04 21:00:00+00:00,89771.0,111.453,110.539,110.754,110.698
2017-04-05 21:00:00+00:00,90898.0,111.146,110.290,110.696,110.801
2017-04-06 21:00:00+00:00,141656.0,111.370,110.136,110.798,111.070
2017-04-09 21:00:00+00:00,65360.0,111.578,110.806,111.086,110.930
2017-04-10 21:00:00+00:00,81966.0,110.952,109.604,110.947,109.606
2017-04-11 21:00:00+00:00,98325.0,109.870,108.960,109.624,109.019
2017-04-12 21:00:00+00:00,84730.0,109.392,108.730,109.038,109.102
2017-04-13 21:00:00+00:00,73558.0,109.236,108.554,109.164,108.646
2017-04-16 21:00:00+00:00,62785.0,109.054,108.129,108.751,108.903
2017-04-17 21:00:00+00:00,84479.0,109.225,108.326,108.892,108.428
2017-04-18 21:00:00+00:00,68745.0,109.180,108.380,108.408,108.854
2017-04-19 21:00:00+00:00,72245.0,109.492,108.721,108.866,109.314
2017-04-20 21:00:00+00:00,66812.0,109.423,108.880,109.327,109.067
2017-04-23 21:00:00+00:00,99361.0,110.631,109.664,110.611,109.769
2017-04-24 21:00:00+00:00,69492.0,111.190,109.596,109.779,111.088
2017-04-25 21:00:00+00:00,105392.0,111.782,110.871,111.072,111.064
2017-04-26 21:00:00+00:00,83264.0,111.602,111.017,111.066,111.264
2017-04-27 21:00:00+00:00,72231.0,111.719,111.070,111.267,111.509
2017-04-30 21:00:00+00:00,56950.0,111.932,111.212,111.281,111.834
2017-05-01 21:00:00+00:00,62245.0,112.307,111.779,111.828,111.992
2017-05-02 21:00:00+00:00,63701.0,112.782,111.964,111.988,112.763
2017-05-03 21:00:00+00:00,75773.0,113.050,112.316,112.771,112.456
2017-05-04 21:00:00+00:00,75063.0,112.810,112.092,112.450,112.686
2017-05-07 21:00:00+00:00,68554.0,113.299,112.394,112.939,113.246
2017-05-08 21:00:00+00:00,61993.0,114.332,113.135,113.248,114.007
2017-05-09 21:00:00+00:00,67662.0,114.379,113.625,113.967,114.277
2017-05-10 21:00:00+00:00,62059.0,114.366,113.460,114.276,113.866
2017-05-11 21:00:00+00:00,63991.0,113.957,113.198,113.836,113.338
2017-05-14 21:00:00+00:00,53830.0,113.855,113.146,113.197,113.798
2017-05-15 21:00:00+00:00,64805.0,113.802,112.929,113.775,113.117
2017-05-16 21:00:00+00:00,116548.0,113.148,110.790,113.104,110.832
2017-05-17 21:00:00+00:00,170971.0,111.742,110.240,110.806,111.482
2017-05-18 21:00:00+00:00,93462.0,111.698,111.034,111.538,111.227
2017-05-21 21:00:00+00:00,67803.0,111.610,110.931,111.058,111.292
